time,ax,ay,az,wx,wy,wz
0.36,0.03,0.01,0,-0.01,0,0
0.361,0.03,0.01,0,0,0.01,0
0.362,0.03,0.01,0,0,0.01,0
0.365,0.03,0,0,0,0.01,0
0.365,0.03,0,0,0,0.01,0
0.367,0.03,0,0,0,0.01,0
0.37,0.04,0,0,0,0.01,0
0.37,0.04,0,0,0,0.01,0
0.372,0.04,0,0,0,0.01,0
0.375,0.06,0.01,0,0,0.01,0
0.375,0.06,0.01,0,0,0.01,0
0.378,0.06,0.01,0,0,0.02,0
0.379,0.06,-0.01,0.03,0,0.02,0
0.38,0.06,-0.01,0.03,0,0.02,0
0.382,0.06,-0.01,0.03,0,0.02,0
0.385,0.06,-0.01,0.03,0,0.02,0
0.386,0.06,0.02,0.01,0,0.02,0
0.387,0.06,0.02,0.01,0,0.02,0
0.389,0.06,0.05,0.02,0,0.02,0
0.389,0.06,0.05,0.02,0,0.02,0
0.392,0.06,0.05,0.02,0,0.02,0
0.394,0.06,0.05,0.02,0,0.02,0
0.395,0.05,0.03,0.01,0,0.02,0
0.397,0.05,0.03,0.01,0,0.02,0
0.4,0.05,0.03,0.01,0,0.02,0
0.401,0.06,0.07,0.01,0,0.02,0
0.401,0.06,0.07,0.01,0,0.02,-0.01
0.405,0.06,0.06,0,0,0.02,-0.01
0.405,0.06,0.06,0,0,0.02,0
0.406,0.06,0.06,0,0,0.02,0
0.408,0.02,0.06,-0.02,0,0.02,0
0.431,0.02,0.06,-0.02,0,0.02,0
0.431,0.02,0.06,-0.02,0,0.02,0
0.432,0.02,0.07,-0.05,0,0.02,0
0.432,0.02,0.07,-0.05,-0.01,0.02,0
0.432,0.02,0.07,-0.05,-0.01,0.02,0
0.432,0.01,0.08,-0.04,-0.01,0.02,0
0.433,0.01,0.08,-0.04,-0.01,0.02,0
0.433,0.01,0.08,-0.04,-0.01,0.02,0
0.433,0.01,0.08,-0.07,-0.01,0.02,0
0.433,0.01,0.08,-0.07,-0.01,0.02,0
0.434,0.01,0.08,-0.07,-0.01,0.03,0
0.434,0.01,0.07,-0.13,-0.01,0.03,0
0.434,0.01,0.07,-0.13,-0.01,0.02,0
0.434,0.01,0.07,-0.13,-0.01,0.02,0
0.435,0.02,0.06,-0.05,-0.01,0.02,0
0.435,0.02,0.06,-0.05,-0.02,0.02,0
0.435,0.02,0.06,-0.05,-0.01,0.02,0
0.438,0.02,0.06,-0.05,-0.01,0.02,0
0.439,0.04,0.03,0.15,-0.01,0.02,0
0.44,0.04,0.03,0.15,-0.01,0.02,0
0.443,0.04,0.03,0.15,0,0.02,0
0.443,0.06,0.03,0.16,0,0.02,0
0.448,0.06,0.03,0.16,0,0.02,0
0.448,0.06,0.03,0.16,0,0.02,0
0.449,0.04,0.03,0.04,0,0.02,0
0.45,0.04,0.03,0.04,-0.01,0.02,0
0.452,0.04,0.03,0.04,-0.01,0.02,0
0.452,0.05,0.02,-0.05,-0.01,0.02,0
0.454,0.05,0.02,-0.05,-0.01,0.02,0
0.457,0.05,0.02,-0.05,-0.01,0.03,0
0.458,0.02,0.01,-0.09,-0.01,0.03,0
0.46,0.02,0.01,-0.09,-0.01,0.03,0
0.462,0.01,0,-0.1,-0.01,0.03,0
0.462,0.01,0,-0.1,-0.01,0.03,0
0.466,0.01,0,-0.1,-0.01,0.02,0
0.468,0.01,0,-0.1,-0.01,0.03,0
0.468,0.01,-0.01,-0.09,-0.01,0.03,0
0.469,0.01,-0.01,-0.09,-0.01,0.03,0
0.471,0.03,0.01,-0.07,-0.01,0.03,0
0.471,0.03,0.01,-0.07,-0.01,0.03,0
0.474,0.03,0.01,-0.07,-0.02,0.02,0
0.476,0.03,0,-0.07,-0.02,0.02,0
0.477,0.03,0,-0.07,-0.01,0.02,0
0.479,0.03,0,-0.07,-0.02,0.02,0
0.481,0.03,0,-0.07,-0.01,0.02,0
0.481,0.05,-0.02,-0.04,-0.01,0.02,0
0.484,0.05,-0.02,-0.04,-0.01,0.01,0
0.486,0.05,-0.02,-0.04,-0.01,0.02,0
0.487,0.02,-0.03,0.01,-0.01,0.02,0
0.489,0.02,-0.03,0.01,-0.01,0.02,0
0.491,0.01,-0.03,0.02,-0.01,0.02,0
0.491,0.01,-0.03,0.02,-0.01,0.02,0
0.494,0.01,-0.03,0.02,-0.01,0.02,0.01
0.496,0.01,-0.03,0.02,-0.01,0.02,0
0.496,0.01,-0.05,0.04,-0.01,0.02,0
0.499,0.01,-0.05,0.04,-0.01,0.02,0.01
0.501,0.02,-0.04,0.04,-0.01,0.02,0.01
0.501,0.02,-0.04,0.04,-0.01,0.02,0.01
0.504,0.02,-0.04,0.04,-0.01,0.02,0.01
0.506,0.02,-0.04,0.04,-0.01,0.02,0.01
0.506,0.04,-0.04,0.03,-0.01,0.02,0.01
0.508,0.04,-0.04,0.03,-0.01,0.02,0.01
0.511,0.04,-0.04,0.03,-0.01,0.02,0.01
0.512,0.03,-0.03,0.01,-0.01,0.02,0.01
0.513,0.03,-0.03,0.01,-0.01,0.02,0.01
0.516,0.04,-0.03,0.01,-0.01,0.02,0.01
0.516,0.04,-0.03,0.01,-0.01,0.02,0
0.518,0.04,-0.03,0.01,-0.01,0.02,0
0.52,0.04,-0.03,0.01,-0.01,0.02,0.01
0.52,0.03,-0.02,0.01,-0.01,0.02,0.01
0.523,0.03,-0.02,0.01,-0.01,0.02,0
0.525,0.02,0,0.01,-0.01,0.02,0
0.525,0.02,0,0.01,-0.01,0.02,0
0.528,0.02,0,0.01,-0.01,0.02,0
0.53,0.02,0,0.01,-0.01,0.02,0
0.53,0.04,0,0.02,-0.01,0.02,0
0.532,0.04,0,0.02,-0.01,0.02,0
0.535,0.03,0.02,0.02,-0.01,0.02,0
0.535,0.03,0.02,0.02,0,0.02,0
0.538,0.03,0.02,0.02,0,0.02,0
0.54,0.03,0,0.03,0,0.02,0
0.54,0.03,0,0.03,-0.01,0.01,0
0.543,0.03,0,0.03,-0.01,0.02,0
0.546,0.03,0,0.03,-0.01,0.01,0
0.547,0.02,0.03,0.05,-0.01,0.01,0
0.548,0.02,0.03,0.05,-0.01,0.01,0
0.551,0.01,0.05,0.02,-0.01,0.01,0
0.551,0.01,0.05,0.02,-0.01,0.02,0
0.553,0.01,0.05,0.02,-0.01,0.01,0
0.555,-0.03,0.05,0,-0.01,0.01,0
0.556,-0.03,0.05,0,-0.01,0.02,0
0.558,-0.03,0.05,0,-0.01,0.01,0
0.56,-0.04,0.04,0.01,-0.01,0.01,0
0.561,-0.04,0.04,0.01,-0.01,0.01,0
0.563,-0.04,0.04,0.01,-0.01,0.01,0
0.566,-0.04,0.05,0,-0.01,0.01,0
0.566,-0.04,0.05,0,-0.01,0.01,0
0.567,-0.04,0.05,0,-0.01,0.01,0
0.57,-0.02,0.05,-0.01,-0.01,0.01,0
0.571,-0.02,0.05,-0.01,-0.01,0.01,0
0.612,-0.02,0.05,-0.01,-0.01,0.02,-0.01
0.613,-0.02,0.05,-0.01,-0.02,0.01,0
0.613,-0.02,0.05,-0.01,-0.02,0.01,0
0.614,-0.02,0.05,-0.01,-0.01,0.01,0
0.615,-0.02,0.05,-0.01,-0.01,0.01,0
0.615,-0.02,0.04,-0.04,-0.01,0.01,0
0.616,-0.02,0.04,-0.04,-0.02,0.01,0
0.616,-0.02,0.02,-0.03,-0.02,0.01,0
0.617,-0.02,0.02,-0.03,-0.02,0.01,0
0.617,-0.02,0.02,-0.03,-0.02,0.01,0
0.617,0.01,0.02,-0.04,-0.02,0.01,0
0.618,0.01,0.02,-0.04,-0.02,0,0
0.619,0.01,0.02,-0.04,-0.02,0,0
0.619,0.01,0.02,-0.04,-0.02,0,0
0.62,-0.01,0,-0.03,-0.02,0,0
0.62,-0.01,0,-0.03,-0.02,0,0
0.621,-0.01,-0.02,-0.03,-0.02,0,0
0.621,-0.01,-0.02,-0.03,-0.01,0,0
0.622,-0.01,-0.02,-0.03,-0.02,0,0
0.622,-0.01,-0.02,-0.03,-0.02,0,0
0.623,0.01,-0.02,-0.04,-0.02,0,0
0.623,0.01,-0.02,-0.04,-0.02,0,0
0.624,0.01,-0.02,-0.04,-0.02,-0.01,0
0.624,0,-0.05,-0.04,-0.02,-0.01,0
0.624,0,-0.05,-0.04,-0.01,0,0
0.625,0.01,-0.07,-0.04,-0.01,0,0
0.625,0.01,-0.07,-0.04,-0.01,0,0
0.625,0.01,-0.07,-0.04,-0.01,0,0
0.625,0,-0.07,0,-0.01,0,0
0.626,0,-0.07,0,-0.01,0,0
0.626,0,-0.07,0,-0.01,0,0
0.627,0.03,-0.07,0,-0.01,0,0
0.627,0.03,-0.07,0,-0.01,0,0
0.627,0.03,-0.07,0,-0.01,0,0
